DPT;RU;DPT;Deputatsky;Депутатский;Asia/Yakutsk;69.39167;139.89917
WOW;US;WOW;Willow;;America/Anchorage;61.833332;-150.16667
SVX;RU;SVX;"Koltsovo International Airport";Кольцово;Asia/Yekaterinburg;56.750336;60.804314
ACN;MX;ACN;International;;America/Matamoros;29.3;-100.916664
YHA;CA;YHA;"Port Hope Simpson";;America/St_Johns;52.533333;-56.3
HEC;FI;HEL;"Helsinki Central Station";"Хельсинки (жд вокзал)";Europe/Helsinki;60.171944;24.941389
QLV;DE;QLV;"Leverkusen Mitte";"Leverkusen Mitte";Europe/Berlin;51.0333;6.9833
YHF;CA;YHF;Hearst;;America/Toronto;49.716667;-83.683334
TSE;KZ;NQZ;"Astana (Nursultan) International Airport";"Нур-Султан (Астана)";Asia/Almaty;51.02781;71.4612
NKA;GA;NKA;Nkan;Нкан;Africa/Libreville;0.7;9.983333
KVN;CN;SHA;"Kunshan South Railway Station";"Южная железнодорожная станция Куншан";Asia/Shanghai;0;0
NKI;US;NKI;Naukiti;;America/Anchorage;55.36667;-133.21666
XUK;CN;XUZ;"Xuzhou Railway Station";"Железнодорожная станция Сюйчжоу";Asia/Shanghai;0;0
YIG;CA;YIG;"Big Bay Marina";;America/Vancouver;50.38333;-125.13333
NKJ;CN;NKG;"Nanjing South Railway Station";"Железнодорожная станция Нанкин";Asia/Shanghai;0;0
VPZ;US;VPZ;"Porter County";;America/Chicago;41.4525;-87.00528
MTM;US;MTM;SPB;;America/Metlakatla;55.13333;-131.58333
NGB;CN;NGB;"Ningbo Airport";Нинбо;Asia/Shanghai;29.820415;121.462395
YIU;CN;YIW;"Yiwu Railway Station";"Железнодорожная станция Иу";Asia/Shanghai;0;0
NKL;CD;NKL;Nkolo;Нколо;Africa/Kinshasa;-1.983333;16.466667
YKJ;CA;YKJ;"Key Lake";;America/Regina;57.25;-105.6
YHT;CA;YHT;"Haines Junction";;America/Whitehorse;60.75;-137.5
NGN;PA;NGN;Nargana;Наргана;America/Panama;9.568611;-79.25
SQJ;CN;SQJ;Sanming;Саньмин;Asia/Shanghai;26.42606;117.83486
AAM;ZA;AAM;"Mala Mala";Мала-Мала;Africa/Johannesburg;-24.8;31.533333
YHU;CA;YMQ;"St. Hubert Airport";Сан-Юбер;America/Montreal;45.5;-73.6
AAC;EG;AAC;"El Arish International Airport";;Africa/Cairo;31.133333;33.75
LHB;US;LHB;"Lost Harbor Sea Port";;America/Nome;54.233334;-165.6
YIA;ID;JOG;"Yogyakarta International Airport";"Международный аэропорт Джокьякарта";Asia/Jakarta;-7.90741;110.05449
